cap,strategy,gen,pop,best_f,mean_f,diversity,cap_used
20,fixed,0,20,0.44205836935353093,0.10835071515680036,0.7379343115027971,20
20,fixed,1,20,0.44205836935353093,0.15907203911912746,0.6082085972224635,20
20,fixed,2,20,0.5022169127909317,0.20785399614859773,0.5760347690080173,20
20,fixed,3,20,0.5022169127909317,0.21929164598644574,0.5973008917939193,20
20,fixed,4,20,0.5204976344594858,0.3148699624005916,0.4688155749435215,20
20,fixed,5,20,0.5204976344594858,0.39021214026510903,0.39629838165579706,20
20,fixed,6,20,0.5204976344594858,0.3881492976364517,0.35137412080518693,20
20,fixed,7,20,0.5256947429339465,0.4002851065734155,0.3811320371283652,20
20,fixed,8,20,0.7452699227936475,0.4469685202767809,0.34080051252495713,20
20,fixed,9,20,0.8487747300760604,0.5389604357290395,0.31969312131120775,20
20,fixed,10,20,0.9739071480939511,0.6120413526395432,0.32776763243512697,20
20,fixed,11,20,0.9739071480939511,0.6661506531006103,0.3399308708931171,20
20,fixed,12,20,0.9739071480939511,0.7435991205942339,0.2694952304910239,20
20,fixed,13,20,0.9920484352878284,0.823989792210239,0.22553805351479833,20
20,fixed,14,20,1,0.8646864681390689,0.1650490974465908,20
20,fixed,15,20,1,0.8741171999738213,0.15877963096553285,20
20,fixed,16,20,1,0.8726608026974475,0.174112765679247,20
20,fixed,17,20,1,0.891407344496628,0.1681736967205849,20
20,fixed,18,20,1,0.9061107206168855,0.14470156204142604,20
20,fixed,19,20,1,0.8963208429820728,0.16519177547252492,20
20,fixed,20,20,1,0.919567582822928,0.14424186068356465,20
20,fixed,21,20,1,0.9157503167376942,0.15434085038617124,20
20,fixed,22,20,1,0.8870021910577955,0.18420501728694624,20
20,fixed,23,20,1,0.9203893772289483,0.12826118633793587,20
20,fixed,24,20,1,0.9122631682671782,0.14123781489725062,20
20,fixed,25,20,1,0.9224025538064178,0.14841101531864437,20
20,fixed,26,20,1,0.905416480737401,0.16903265034348328,20
20,fixed,27,20,1,0.8916830444618291,0.14926284485995783,20
20,fixed,28,20,1,0.9105862975311843,0.1620932794490773,20
20,fixed,29,20,1,0.9473963546036511,0.10804685776164222,20
20,fixed,30,20,1,0.9169843783198589,0.15147236706517425,20
20,fixed,31,20,1,0.8980118977227889,0.1481520770670216,20
20,fixed,32,20,1,0.8956878256489788,0.1495838182171919,20
20,fixed,33,20,1,0.9195759777398858,0.14857921464286605,20
20,fixed,34,20,1,0.9160803438041223,0.1529419800247517,20
20,fixed,35,20,1,0.9099538701335268,0.1588451199226369,20
20,fixed,36,20,1,0.9341425126533732,0.11633062658248952,20
20,fixed,37,20,1,0.9396635606334565,0.119841055846341,20
20,fixed,38,20,1,0.955203669860534,0.09391583694287738,20
20,fixed,39,20,1,0.9507401998095657,0.12194295240048907,20
20,fixed,40,20,1,0.9352790391193618,0.1501760073464955,20
20,fixed,41,20,1,0.9329648013732921,0.1433890590966988,20
20,fixed,42,20,1,0.8993655566318195,0.16258627552753613,20
20,fixed,43,20,1,0.9036340012698238,0.13818030897909184,20
20,fixed,44,20,1,0.8956313729228385,0.16970303508943263,20
20,fixed,45,20,1,0.9465418082045056,0.09758674915491747,20
20,fixed,46,20,1,0.9093006207701014,0.18516237158942123,20
20,fixed,47,20,1,0.9045603036972547,0.17230910655658654,20
20,fixed,48,20,1,0.8854370032107927,0.17725506900287216,20
20,fixed,49,20,1,0.8771381037178452,0.17940332907099704,20
20,fixed,50,20,1,0.868485591883481,0.21960624150329433,20
20,fixed,51,20,1,0.9014025548192407,0.17121358823813304,20
20,fixed,52,20,1,0.9101519369095639,0.13216566097476787,20
20,fixed,53,20,1,0.9103994663057688,0.1335551314483554,20
20,fixed,54,20,1,0.8988236111115393,0.16718286846536579,20
20,fixed,55,20,1,0.9084614150691083,0.15719197345754743,20
20,fixed,56,20,1,0.8993936014566927,0.16212062321552415,20
20,fixed,57,20,1,0.8919967619120331,0.17647686049067393,20
20,fixed,58,20,1,0.8796051322609463,0.1658171930520253,20
20,fixed,59,20,1,0.8850911409130692,0.1659833255761297,20
20,fixed,60,20,1,0.9077612461442373,0.17924274064478862,20
20,fixed,61,20,1,0.9140728951155601,0.1410649488949365,20
20,fixed,62,20,1,0.9052790779368427,0.15442581152091234,20
20,fixed,63,20,1,0.9080057258954408,0.1382735576823101,20
20,fixed,64,20,1,0.890770519998585,0.17052276170026293,20
20,fixed,65,20,1,0.8999645195544785,0.1715235821019469,20
20,fixed,66,20,1,0.9229006866971291,0.1358945193602868,20
20,fixed,67,20,1,0.9094670800169252,0.14458920587532206,20
20,fixed,68,20,1,0.9160249900007156,0.16412696952466338,20
20,fixed,69,20,1,0.9363245198935912,0.14405824190383248,20
